# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,1.050000000000000065e-02
1.000200139987997673e-03,6.999953923499114161e+00,1.048964474583170131e-02
2.000400179975995313e-03,6.999815695106734736e+00,1.047917100710899461e-02
3.000600219963992735e-03,6.999585318098380249e+00,1.046857888188073779e-02
4.000800259951990158e-03,6.999262797933146985e+00,1.045786847130087023e-02
5.001000299939988014e-03,6.998848142253553561e+00,1.044703987962535691e-02
6.001200339927985003e-03,6.998341360885323326e+00,1.043609321420900689e-02
7.001400379915982859e-03,6.997742465837112569e+00,1.042502858550222074e-02
8.001600419903980715e-03,6.997051471300168579e+00,1.041384610704760953e-02
9.001800459891977704e-03,6.996268393647928185e+00,1.040254589547661389e-02
1.000200049987997643e-02,6.995393251435557680e+00,1.039112807050593737e-02
1.100220053986797342e-02,6.994426065399426129e+00,1.037959275493397990e-02
1.200240057985597041e-02,6.993366858456528057e+00,1.036794007463709422e-02
1.300260061984396913e-02,6.992215655703825306e+00,1.035617015856586318e-02
1.400280065983196612e-02,6.990972484417556032e+00,1.034428313874120008e-02
1.500300069981996484e-02,6.989637374052442453e+00,1.033227915025040911e-02
1.600320073980796357e-02,6.988210356240882604e+00,1.032015833124312956e-02
1.700340077979596229e-02,6.986691464792043504e+00,1.030792082292725925e-02
1.800360081978395754e-02,6.985080735690912590e+00,1.029556676956470095e-02
1.900380085977195627e-02,6.983378207097283408e+00,1.028309631846709322e-02
2.000400089975995499e-02,6.981583919344675593e+00,1.027050961999143031e-02
2.100420093974795024e-02,6.979697914939202441e+00,1.025780682753557084e-02
2.200440097973594897e-02,6.977720238558365651e+00,1.024498809753373457e-02
2.300460101972394769e-02,6.975650937049803879e+00,1.023205358945185675e-02
2.400480105971194295e-02,6.973490059429961363e+00,1.021900346578282111e-02
2.500500109969994167e-02,6.971237656882712130e+00,1.020583789204174835e-02
2.600520113968794039e-02,6.968893782757914934e+00,1.019255703676100536e-02
2.700540117967593912e-02,6.966458492569910455e+00,1.017916107148532888e-02
2.800560121966393437e-02,6.963931843995948334e+00,1.016565017076668902e-02
2.900580125965193309e-02,6.961313896874568918e+00,1.015202451215920128e-02
3.000600129963993182e-02,6.958604713203913938e+00,1.013828427621389465e-02
3.100620133962792707e-02,6.955804357139974137e+00,1.012442964647338427e-02
3.200640137961592580e-02,6.952912894994784487e+00,1.011046080946649203e-02
3.300660141960392452e-02,6.949930395234551916e+00,1.009637795470278050e-02
