# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,1.050000000000000065e-02
1.000200139987997673e-03,6.999953923499114161e+00,1.046866345877797526e-02
2.000400179975995313e-03,6.999815695106734736e+00,1.043736252892846217e-02
3.000600219963992735e-03,6.999585318098380249e+00,1.040609654841389946e-02
4.000800259951990158e-03,6.999262797933146985e+00,1.037486486317495613e-02
5.001000299939988014e-03,6.998848142253553561e+00,1.034366682708856566e-02
6.001200339927985003e-03,6.998341360885323326e+00,1.031250180192613657e-02
7.001400379915982859e-03,6.997742465837112569e+00,1.028136915731193632e-02
8.001600419903980715e-03,6.997051471300168579e+00,1.025026827068160548e-02
9.001800459891977704e-03,6.996268393647928185e+00,1.021919852724094933e-02
1.000200049987997643e-02,6.995393251435557680e+00,1.018815931992477289e-02
1.100220053986797342e-02,6.994426065399426129e+00,1.015715004935599866e-02
1.200240057985597041e-02,6.993366858456528057e+00,1.012617012380485036e-02
1.300260061984396913e-02,6.992215655703825306e+00,1.009521895914830721e-02
1.400280065983196612e-02,6.990972484417556032e+00,1.006429597882964495e-02
1.500300069981996484e-02,6.989637374052442453e+00,1.003340061381817125e-02
1.600320073980796357e-02,6.988210356240882604e+00,1.000253230256910840e-02
1.700340077979596229e-02,6.986691464792043504e+00,9.971690490983687802e-03
1.800360081978395754e-02,6.985080735690912590e+00,9.940874632369336300e-03
1.900380085977195627e-02,6.983378207097283408e+00,9.910084187400051633e-03
2.000400089975995499e-02,6.981583919344675593e+00,9.879318624076963498e-03
2.100420093974795024e-02,6.979697914939202441e+00,9.848577417688970936e-03
2.200440097973594897e-02,6.977720238558365651e+00,9.817860050773645139e-03
2.300460101972394769e-02,6.975650937049803879e+00,9.787166013078201637e-03
2.400480105971194295e-02,6.973490059429961363e+00,9.756494801520633822e-03
2.500500109969994167e-02,6.971237656882712130e+00,9.725845920151061572e-03
2.600520113968794039e-02,6.968893782757914934e+00,9.695218880113107632e-03
2.700540117967593912e-02,6.966458492569910455e+00,9.664613199605589719e-03
2.800560121966393437e-02,6.963931843995948334e+00,9.634028403844179661e-03
2.900580125965193309e-02,6.961313896874568918e+00,9.603464025023355707e-03
3.000600129963993182e-02,6.958604713203913938e+00,9.572919602278425963e-03
3.100620133962792707e-02,6.955804357139974137e+00,9.542394681647688864e-03
3.200640137961592580e-02,6.952912894994784487e+00,9.511888816034777538e-03
3.300660141960392452e-02,6.949930395234551916e+00,9.481401565171135998e-03
3.400680145959192324e-02,6.946856928477725290e+00,9.450932495578589013e-03
3.500700149957992197e-02,6.943692567493004120e+00,9.420481180532123619e-03
3.600720153956791375e-02,6.940437387197285979e+00,9.390047200022752158e-03
3.700740157955591247e-02,6.937091464653557082e+00,9.359630140720522767e-03
3.800760161954391120e-02,6.933654879068715360e+00,9.329229595937696407e-03
3.900780165953190992e-02,6.930127711791340239e+00,9.298845165592036638e-03
4.000800169951990864e-02,6.926510046309396706e+00,9.268476456170196554e-03
4.100820173950790737e-02,6.922801968247883408e+00,9.238123080691319072e-03
4.200840177949589915e-02,6.919003565366422137e+00,9.207784658670699687e-03
4.300860181948389788e-02,6.915114927556771818e+00,9.177460816083601869e-03
4.400880185947189660e-02,6.911136146840312300e+00,9.147151185329211245e-03
4.500900189945989532e-02,6.907067317365433112e+00,9.116855405194707745e-03
4.600920193944789405e-02,6.902908535404891133e+00,9.086573120819455701e-03
4.700940197943589277e-02,6.898659899353093650e+00,9.056303983659358750e-03
4.800960201942388456e-02,6.894321509723319252e+00,9.026047651451265044e-03
4.900980205941188328e-02,6.889893469144899640e+00,8.995803788177592769e-03
5.001000209939988200e-02,6.885375882360306399e+00,8.965572064031004235e-03
5.101020213938788073e-02,6.880768856222220897e+00,8.935352155379217010e-03
5.201040217937587945e-02,6.876072499690506490e+00,8.905143744729974650e-03
5.301060221936387817e-02,6.871286923829146964e+00,8.874946520696083349e-03
5.401080225935187690e-02,6.866412241803111272e+00,8.844760177960599504e-03
5.501100229933986868e-02,6.861448568875172072e+00,8.814584417242156064e-03
5.601120233932786741e-02,6.856396022402648782e+00,8.784418945260314901e-03
5.701140237931586613e-02,6.851254721834109773e+00,8.754263474701175912e-03
5.801160241930386485e-02,6.846024788706002617e+00,8.724117724182977457e-03
5.901180245929186358e-02,6.840706346639230162e+00,8.693981418221875465e-03
6.001200249927986230e-02,6.835299521335667094e+00,8.663854287197819692e-03
6.101220253926785408e-02,6.829804440574624991e+00,8.633736067320534058e-03
6.201240257925585281e-02,6.824221234209244535e+00,8.603626500595630555e-03
6.301260261924385153e-02,6.818550034162845996e+00,8.573525334790813371e-03
6.401280265923184332e-02,6.812790974425203316e+00,8.543432323402202697e-03
6.501300269921983510e-02,6.806944191048785342e+00,8.513347225620778239e-03
6.601320273920784076e-02,6.801009822144908235e+00,8.483269806298897320e-03
6.701340277919583255e-02,6.794988007879859460e+00,8.453199835916965638e-03
6.801360281918383821e-02,6.788878890470940064e+00,8.423137090550177411e-03
6.901380285917183000e-02,6.782682614182471426e+00,8.393081351835375223e-03
7.001400289915983566e-02,6.776399325321721179e+00,8.363032406938024355e-03
7.101420293914782744e-02,6.770029172234793613e+00,8.332990048519289469e-03
7.201440297913581923e-02,6.763572305302449905e+00,8.302954074703185888e-03
7.301460301912382489e-02,6.757028876935870620e+00,8.272924289043869644e-03
7.401480305911181667e-02,6.750399041572377357e+00,8.242900500493036825e-03
7.501500309909982234e-02,6.743682955671070900e+00,8.212882523367350668e-03
7.601520313908781412e-02,6.736880777708437407e+00,8.182870177316088969e-03
7.701540317907580591e-02,6.729992668173885306e+00,8.152863287288768940e-03
7.801560321906381157e-02,6.723018789565230691e+00,8.122861683502947266e-03
7.901580325905180335e-02,6.715959306384119643e+00,8.092865201412129464e-03
8.001600329903980902e-02,6.708814385131404379e+00,8.062873681673668816e-03
8.101620333902780080e-02,6.701584194302456332e+00,8.032886970116937669e-03
8.201640337901580646e-02,6.694268904382429497e+00,8.002904917711399849e-03
8.301660341900379825e-02,6.686868687841455383e+00,7.972927380534951952e-03
8.401680345899179003e-02,6.679383719129798891e+00,7.942954219742229954e-03
8.501700349897979569e-02,6.671814174672953790e+00,7.912985301533099688e-03
8.601720353896778748e-02,6.664160232866668032e+00,7.883020497121185494e-03
8.701740357895579314e-02,6.656422074071939754e+00,7.853059682702485597e-03
8.801760361894378493e-02,6.648599880609938673e+00,7.823102739424173113e-03
8.901780365893179059e-02,6.640693836756880408e+00,7.793149553353353673e-03
9.001800369891978237e-02,6.632704128738840410e+00,7.763200015446000864e-03
9.101820373890777416e-02,6.624630944726526138e+00,7.733254021515973201e-03
9.201840377889577982e-02,6.616474474829985297e+00,7.703311472204098752e-03
9.301860381888377161e-02,6.608234911093254560e+00,7.673372272947350838e-03
9.401880385887177727e-02,6.599912447488968326e+00,7.643436333948133016e-03
9.501900389885976905e-02,6.591507279912902639e+00,7.613503570143640396e-03
9.601920393884776084e-02,6.583019606178473815e+00,7.583573901175292946e-03
9.701940397883576650e-02,6.574449626011173997e+00,7.553647251358278948e-03
9.801960401882375828e-02,6.565797541042958763e+00,7.523723549651173924e-03
9.901980405881176395e-02,6.557063554806596528e+00,7.493802729625635012e-03
1.000200040987997557e-01,6.548247872729922925e+00,7.463884729436220250e-03
1.010202041387877614e-01,6.539350702130091619e+00,7.433969491790224336e-03
1.020204041787757532e-01,6.530372252207747863e+00,7.404056963917674851e-03
1.030206042187637450e-01,6.521312734041141645e+00,7.374147097541344960e-03
1.040208042587517506e-01,6.512172360580209762e+00,7.344239848846901425e-03
1.050210042987397424e-01,6.502951346640589492e+00,7.314335178453080372e-03
1.060212043387277481e-01,6.493649908897590528e+00,7.284433051382012241e-03
1.070214043787157399e-01,6.484268265880109183e+00,7.254533437029571027e-03
1.080216044187037455e-01,6.474806637964491962e+00,7.224636309135837146e-03
1.090218044586917373e-01,6.465265247368354729e+00,7.194741645755610600e-03
1.100220044986797291e-01,6.455644318144329930e+00,7.164849429229036906e-03
1.110222045386677348e-01,6.445944076173802273e+00,7.134959646152284202e-03
1.120224045786557265e-01,6.436164749160545817e+00,7.105072287348341772e-03
1.130226046186437322e-01,6.426306566624345074e+00,7.075187347837827261e-03
1.140228046586317240e-01,6.416369759894559266e+00,7.045304826809933516e-03
1.150230046986197296e-01,6.406354562103622641e+00,7.015424727593429222e-03
1.160232047386077214e-01,6.396261208180504809e+00,6.985547057627754935e-03
1.170234047785957132e-01,6.386089934844130234e+00,6.955671828434127797e-03
1.180236048185837189e-01,6.375840980596728436e+00,6.925799055586837928e-03
1.190238048585717107e-01,6.365514585717152229e+00,6.895928758684513604e-03
1.200240048985597163e-01,6.355110992254132896e+00,6.866060961321509594e-03
1.210242049385477081e-01,6.344630444019499826e+00,6.836195691059382233e-03
1.220244049785356999e-01,6.334073186581341552e+00,6.806332979398409602e-03
1.230246050185237056e-01,6.323439467257125024e+00,6.776472861749188031e-03
1.240248050585116973e-01,6.312729535106755385e+00,6.746615377404339628e-03
1.250250050984997030e-01,6.301943640925603773e+00,6.716760569510237151e-03
1.260252051384877225e-01,6.291082037237478275e+00,6.686908485038841644e-03
1.270254051784757143e-01,6.280144978287540702e+00,6.657059174759604250e-03
1.280256052184637061e-01,6.269132720035194950e+00,6.627212693211424407e-03
1.290258052584516979e-01,6.258045520146903407e+00,6.597369098674704321e-03
1.300260052984396897e-01,6.246883637988979388e+00,6.567528453143461550e-03
1.310262053384277092e-01,6.235647334620318283e+00,6.537690822297489296e-03
1.320264053784157010e-01,6.224336872785085184e+00,6.507856275474665879e-03
1.330266054184036928e-01,6.212952516905366096e+00,6.478024885643197429e-03
